MUNICIPALITY,Pounds,Value,PERMITS,POPULATION,PONDS_POP,VALUE_POP,PERMIT_POP,ENGAGEMENT,RELIANCE,ENGSCORE,RELSCORE
AGUADA,38301.60000000000000,188600.4000000000000,28.000000000000000,37306.8,1.026665380037960,5.055389366013700,0.750533414819818,0.239175684033819,-0.065602895121148,2.00,1.00
AGUADILLA,47465.80000000000000,150403.6000000000000,51.000000000000000,51552.4,0.920729199804471,2.917489777391550,0.989284688976653,0.577603615587029,-0.066013666969094,3.00,1.00
AIBONITO,661.00000000000000,1965.0000000000000,1.000000000000000,22545.0,0.029319139498780,0.087159015302728,0.044355732978488,-0.669902684672038,-0.653610352582728,1.00,1.00
ANASCO,16814.80000000000000,111626.8000000000000,10.600000000000000,26554.6,0.633216090620834,4.203670927071020,0.399177543627093,-0.266346628956169,-0.287755968101291,1.00,1.00
ARECIBO,32368.20000000000000,155116.4000000000000,45.200000000000000,83682.0,0.386800028680003,1.853641165364120,0.540140054014005,0.398016002936594,-0.354309765899305,2.00,1.00
ARROYO,19597.80000000000000,56882.6000000000000,14.000000000000000,17502.4,1.119720724014990,3.249988572995700,0.799890300758753,-0.276210077615790,-0.091545497045407,1.00,1.00
BARCELONETA,7077.00000000000000,27190.0000000000000,7.000000000000000,23913.0,0.295947810814201,1.137038430978970,0.292727804959645,-0.504232304480633,-0.483726235909039,1.00,1.00
CABO ROJO,299158.40000000000000,1413526.4000000000000,129.200000000000000,47977.4,6.235402502011360,29.462338517718800,2.692934590036140,5.209189042317610,2.314273466768500,4.00,4.00
CAMUY,4795.40000000000000,27966.2000000000000,7.400000000000000,31066.0,0.154361681581150,0.900218888817357,0.238202536535119,-0.512962799614792,-0.534996854610614,1.00,1.00
CAROLINA,773.20000000000000,3207.6000000000000,3.200000000000000,150378.0,0.005141709558579,0.021330247775606,0.021279708467994,-0.635803345758809,-0.668250825452395,1.00,1.00
CATANO,13558.80000000000000,49866.0000000000000,19.400000000000000,23698.4,0.572139891300679,2.104192688113970,0.818620666374101,-0.249885153150791,-0.213187134911607,1.00,1.00
CEIBA,32953.20000000000000,174781.2000000000000,23.200000000000000,11207.4,2.940307296964510,15.595160340489300,2.070060852650930,0.114190048695699,1.082801233906500,2.00,4.00
CULEBRA,7984.00000000000000,50476.6000000000000,5.000000000000000,1741.8,4.583763922379150,28.979561373292000,2.870593638764500,-0.493713582371875,2.089756407612450,1.00,4.00
DORADO,14382.40000000000000,84680.8000000000000,15.800000000000000,36475.0,0.394308430431803,2.321612063056890,0.433173406442769,-0.246544903905549,-0.376885131512306,1.00,1.00
FAJARDO,123072.60000000000000,622408.0000000000000,72.000000000000000,30263.0,4.066768000528700,20.566632521561000,2.379142847701810,2.064459185035100,1.546662856387790,4.00,4.00
GUANICA,31945.80000000000000,141109.6000000000000,22.200000000000000,15824.6,2.018742969806500,8.917103749857820,1.402879061714040,0.045204609198259,0.465335799149541,2.00,2.00
GUAYAMA,29785.80000000000000,120772.4000000000000,26.800000000000000,40198.0,0.740977163042938,3.004438031742870,0.666699835812727,0.067629008925812,-0.211269911208666,2.00,1.00
GUAYANILLA,4196.80000000000000,21052.0000000000000,4.400000000000000,18080.0,0.232123893805310,1.164380530973450,0.243362831858407,-0.569906715153362,-0.511512254647884,1.00,1.00
GUAYNABO,626.00000000000000,868.0000000000000,2.000000000000000,85312.0,0.007337771942986,0.010174418604651,0.023443360840210,-0.657347036048070,-0.667460657019730,1.00,1.00
HATILLO,96.00000000000000,358.5000000000000,2.000000000000000,39561.4,0.002426607754023,0.009061863331429,0.050554328208810,-0.661686894552692,-0.658367072863589,1.00,1.00
HUMACAO,14275.60000000000000,58520.0000000000000,17.200000000000000,51586.4,0.276731851805902,1.134407518260630,0.333421211792255,-0.264289398260435,-0.472071816270217,1.00,1.00
ISABELA,2814.60000000000000,15422.6000000000000,3.800000000000000,41083.8,0.068508755275802,0.375393707495412,0.092493878365682,-0.595935065402384,-0.619962340926050,1.00,1.00
JUANA DIAZ,29397.20000000000000,93301.2000000000000,10.400000000000000,45414.4,0.647310104284104,2.054440882187150,0.229002254791432,-0.209336236060862,-0.418638002401469,1.00,1.00
LAJAS,37657.80000000000000,137335.6000000000000,27.800000000000000,22390.6,1.681857565228270,6.133627504399170,1.241592453976220,0.159198099390738,0.258642266708259,2.00,2.00
LOIZA,8240.80000000000000,29812.0000000000000,13.000000000000000,25164.4,0.327478501374958,1.184689481966590,0.516602819856623,-0.406467502239468,-0.394812477537666,1.00,1.00
LUQUILLO,7082.20000000000000,29645.2000000000000,10.400000000000000,17924.2,0.395119447450932,1.653920398120980,0.580221153524286,-0.451922688982408,-0.344807961822681,1.00,1.00
MANATI,1270.80000000000000,5634.4000000000000,2.800000000000000,38061.8,0.033387806146845,0.148032935909495,0.073564571302461,-0.634705327369555,-0.640216851622146,1.00,1.00
MAUNABO,12966.20000000000000,39213.2000000000000,9.200000000000000,10568.0,1.226930355791070,3.710560181680550,0.870552611657835,-0.415414497450248,-0.032683499030717,1.00,1.00
MAYAGUEZ,38671.00000000000000,180028.6000000000000,34.400000000000000,73335.6,0.527315519338493,2.454859577067620,0.469076410365498,0.321381792741284,-0.337279022551792,2.00,1.00
NAGUABO,38332.00000000000000,180031.0000000000000,14.800000000000000,25930.6,1.478253492013300,6.942801169274910,0.570754244020578,0.037801831399992,0.005483586784421,2.00,2.00
PATILLAS,10960.20000000000000,48458.6000000000000,5.800000000000000,16591.2,0.660603211340952,2.920741115772220,0.349582911422923,-0.464783288865937,-0.343668612966701,1.00,1.00
PENUELAS,18788.20000000000000,95406.8000000000000,7.200000000000000,19796.8,0.949052372100542,4.819304129960400,0.363695142649317,-0.324676427461017,-0.228137598616206,1.00,1.00
PONCE,44400.80000000000000,187426.8000000000000,37.200000000000000,135674.2,0.327260451876628,1.381447614948160,0.274186249117371,0.411161944497766,-0.477285740433268,2.00,1.00
QUEBRADILLAS,137.33333333333300,783.3333333333330,1.000000000000000,23261.0,0.005904016737601,0.033675823624665,0.042990413137870,-0.675152715328453,-0.659754288459542,1.00,1.00
RINCON,138432.60000000000000,685065.6000000000000,61.000000000000000,13849.2,9.995710943592410,49.466077462958100,4.404586546515320,2.100307000747270,4.224369726344050,4.00,4.00
RIO GRANDE,9585.80000000000000,36919.4000000000000,19.800000000000000,48827.6,0.196319294825058,0.756117441774734,0.405508360025887,-0.289623574905264,-0.471420846941936,1.00,1.00
SALINAS,23086.60000000000000,116843.0000000000000,19.200000000000000,27637.6,0.835333024575216,4.227682577358380,0.694705763163227,-0.092729445053516,-0.145061721369293,1.00,1.00
SAN JUAN,35277.40000000000000,155068.2000000000000,38.800000000000000,326953.4,0.107897333381454,0.474282267748248,0.118671345824818,0.325959405133653,-0.600573798662280,2.00,1.00
SANTA ISABEL,18026.60000000000000,81847.2000000000000,19.800000000000000,21474.2,0.839453856255413,3.811420215886970,0.922036676570024,-0.168290841930114,-0.074705652239419,1.00,1.00
TOA BAJA,986.20000000000000,5008.4000000000000,4.800000000000000,76008.2,0.012974915864341,0.065892890503919,0.063151081067569,-0.608834609740664,-0.650125991701390,1.00,1.00
VEGA ALTA,7685.80000000000000,33315.8000000000000,8.800000000000000,36558.8,0.210231189207523,0.911293587316870,0.240708119522523,-0.465557631830207,-0.524451938258401,1.00,1.00
VEGA BAJA,12125.80000000000000,60229.4000000000000,15.800000000000000,51088.6,0.237348449556261,1.178920541960440,0.309266646570859,-0.296627623379594,-0.485993700047367,1.00,1.00
