,Commercial fish density,Commercial fish density,Slope of the size spectrum
,Average number per transect,Average number per transect,Slope of log distribution
,USVI,Puerto Rico,USVI
1999,,0.780082640876411,
2000,,0.844324177519374,
2001,,0.806979506911224,
2002,,,
2003,3.28317594959003,,-0.870007406912933
2004,2.69788136707804,1.34152281305464,-1.06966468724268
2005,3.53119755922737,1.58570284161824,-1.17212338862611
2006,2.43019978019313,1.45849592958132,-0.950752823807109
2007,2.3964640274111,0.628837862472874,-1.11094990394036
2008,2.79741899630159,0.526667781700906,-0.914900041192094
2009,2.38705395032765,0.823268599636936,-0.483933148222008
2010,2.46749937480471,0.80609888616815,-1.14568436991885
2011,3.22595764685111,1.09779103365168,-1.40939002211925
2012,3.41757201490644,,-0.404323871528491
2013,4.05857225799844,0.612157802190558,-0.849915493473218
2014,4.20613445803127,,-0.603524193640172
2015,4.65492821323603,0.826404260584761,-1.0802627959518
2016,5.30076974015315,0.599143794662679,-1.13183208787903
2017,4.68676152264341,0.861389342214198,-1.00758782312521
2018,7.84757049039676,0.546351304110842,-1.34179158900806
2019,5.50394840500898,0.692670233313027,-1.0939846997196
2020,4.13683976606047,0.3828076854817,-0.807956265053547
2021,6.55785286624342,0.941877612271643,-0.823318586452496
2022,,1.23241731663408,
2023,,0.703857839266385,
