,Queen triggerfish,Red hind,Lane snapper,Yellowtail snapper,Redband parrotfish,Stoplight parrotfish
,Density,Density,Density,Density,Density,Density
,St. Croix,St. Croix,St. Croix,St. Croix,St. Croix,St. Croix
2001,0.505610317227469,0.634803139565397,0.0459807835073488,1.18174086459324,4.81714443295532,2.03414286429824
2002,0.771673319791794,1.02314074238238,1.03177065677506,2.2985101932332,4.7363691363877,2.31277536907716
2003,0.486808114161092,0.714062250008717,0.0144488109836818,0.769777940857786,4.51770182702585,1.57474841767384
2004,0.259957253804105,0.411386907839562,0.00252609481984232,0.323862943683199,2.91746862560829,2.36224518391215
2005,0.545390462918428,0.872008707239286,0.00616465748622137,0.403675354602266,4.76057381755546,1.43138335875172
2006,0.950408145697688,0.818707073570496,0.0815537334827721,0.51768423601279,3.72994623150555,1.10453791825922
2007,0.493709776670412,0.628897776777421,0.224775903177953,0.857420383488664,3.7597844250479,1.58883183677738
2008,0.714015941784835,0.701451046504381,0.162955336562655,0.38479877308953,3.73039197050666,1.01834747374393
2009,0.521535573858771,0.280470800506324,0.0174302975405222,0.370270814564642,3.84486203756264,0.922986542631654
2010,0.832233049419439,0.184994442552351,0.144480319956428,0.485902473793142,4.69481832162095,1.27803266987674
2011,1.04314506816944,0.486102223093935,0,0.130008060386821,2.78206651678063,1.49495840235343
2012,0.783418811937798,0.219760844986615,0.0790791595196557,0.369838231923425,2.82696631559101,0.894195718290682
2014,0.653130537329752,0.371067457959864,0.197973691037574,0.343100162443525,2.81889154196175,1.12256265010235
2016,0.530714099252203,0.271864534167985,0.050720338425464,0.415018373717872,4.95010113147965,1.31560702291794
2019,0.737230864627272,0.47520182509702,0.0166997685203964,0.186350383619407,3.52767166927405,0.61095223108361
2021,1.05191016517359,0.486667352630157,0.0333516665162189,0.149553315358708,3.97447018615519,0.87011153444878
2023,1.64458142159568,0.471843021157136,0.0160316131312072,0.494057875236079,5.8012392298847,0.537677821427064
