,Proportion of landings in Lmax class,Proportion of landings in Lmax class,Proportion of landings in Lmax class,Proportion of landings in Lmax class
,Proportion,Proportion,Proportion,Proportion
,<40 cm,40-60 cm,60-100 cm,>100 cm
2005,0.0343955301362261,0.277434862968333,0.540506462237975,0.147663144657466
2006,0.0257104637862025,0.274544172406184,0.530741967567115,0.169003396240499
2007,0.0222414918732267,0.263488927600088,0.568304036931721,0.145965543594964
2008,0.077215794338887,0.183155100127487,0.594360791907439,0.145268313626188
2009,0.0441007401120637,0.224979549902426,0.622686905516362,0.108232804469149
2010,0.0392420212690852,0.212872151098726,0.659196487421147,0.0886893402110416
2011,0.0259325604695368,0.292360547008435,0.58873768667145,0.0929692058505778
2012,0.0407458965424574,0.304728514346654,0.560333232856953,0.0941923562539354
2013,0.0353639858063692,0.321430647834594,0.541420487741648,0.101784878617389
2014,0.0341252179388729,0.27627738601954,0.593954104050429,0.0956432919911575
2015,0.0281571710343874,0.283584264458681,0.594858061777308,0.0934005027296241
2016,0.0315326736739275,0.275043283342952,0.602333800518622,0.0910902424644983
2017,0.0291059732639104,0.282397363581892,0.607109651025848,0.0813870121283498
2018,0.0220219613405336,0.289990010023194,0.587787647804738,0.100200380831535
2019,0.025259641764818,0.262062048786957,0.616016146277985,0.0966621631702405
2020,0.0187829007793844,0.273049046107014,0.619214317579447,0.0889537355341538
2021,0.0326434953821238,0.27156328621037,0.61605669122677,0.0797365271807363
2022,0.0268427258058196,0.246966043193144,0.642431582359416,0.0837596486416209
